code,arrow_up
S01-C01-R01,FALSE
S01-C01-R02,TRUE
S01-C01-R03,TRUE
S01-C02-R01,FALSE
S01-C02-R02,TRUE
S01-C02-R03,TRUE
S01-C03-R01,FALSE
S01-C03-R02,TRUE
S01-C03-R03,TRUE
S01-C04-R01,FALSE
S01-C04-R02,TRUE
S01-C04-R03,TRUE
S02-C01-R01,FALSE
S02-C01-R02,TRUE
S02-C01-R03,TRUE
S02-C02-R01,FALSE
S02-C02-R02,TRUE
S02-C02-R03,TRUE
S02-C03-R01,FALSE
S02-C03-R02,TRUE
S02-C03-R03,TRUE
S03-C01-R01,
S03-C01-R02,
S03-C01-R03,
S03-C01-R04,
S03-C02-R01,
S03-C02-R02,
S03-C02-R03,
S03-C02-R04,
S03-C03-R01,
S03-C03-R02,
S03-C03-R03,
S03-C03-R04,
S03-C03-R05,
S04-C01-R01,
S04-C01-R02,
S04-C01-R03,
S04-C01-R04,
